,title_year,start_year,runtime_minutes,genres,averagerating,numvotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,Unknown,War,Western,release_date,production_budget,domestic_gross,worldwide_gross,total_gross,gross_less_budget
486,The Last Stand (2013),2013,107.0,"Action,Thriller",6.4,126623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013-01-18,30000000,12050299,48330757,60381056,30381056
1115,The Purge: Anarchy (2014),2014,103.0,"Action,Horror,Sci-Fi",6.5,126203,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014-07-18,9000000,71562550,111534881,183097431,174097431
1228,Allied (2016),2016,124.0,"Action,Drama,Romance",7.1,125741,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016-11-23,106000000,40098064,119266661,159364725,53364725
63,It's Kind of a Funny Story (2010),2010,101.0,"Comedy,Drama,Romance",7.1,125583,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010-10-08,8000000,6363628,6632950,12996578,4996578
777,Carrie (2013),2013,100.0,"Drama,Horror",5.9,125424,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-10-18,30000000,35266619,82409520,117676139,87676139
733,Resident Evil: Retribution (2012),2012,95.0,"Action,Horror,Sci-Fi",5.4,125191,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012-09-14,65000000,42345531,240647629,282993160,217993160
30,Tower Heist (2011),2011,104.0,"Action,Comedy,Crime",6.2,125102,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-11-04,85000000,78046570,150422946,228469516,143469516
1161,London Has Fallen (2016),2016,99.0,"Action,Thriller",5.9,124757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016-03-04,60000000,62524260,195194085,257718345,197718345
261,Incendies (2010),2010,131.0,"Drama,Mystery,War",8.3,124156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2010-09-17,6800000,6857096,16038343,22895439,16095439
677,Killing Them Softly (2012),2012,97.0,"Crime,Thriller",6.2,124086,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012-11-30,15000000,14945541,39238443,54183984,39183984
765,Magic Mike (2012),2012,110.0,"Comedy,Drama",6.1,123955,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-06-29,7000000,113721571,170549753,284271324,277271324
1300,The Gift (2015),2015,108.0,"Drama,Mystery,Thriller",7.1,123834,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015-08-07,5000000,43787265,58978477,102765742,97765742
834,Inside Llewyn Davis (2013),2013,104.0,"Drama,Music",7.5,123759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-12-06,11000000,13248209,32943247,46191456,35191456
